,a,b,c,d,e
2017-01-01 00:00:00,-0.096,0.192,1.324,1.144,-0.51
2017-01-01 01:00:00,-1.8,-0.306,1.956,0.7429999999999999,-0.9570000000000001
2017-01-01 02:00:00,-2.412,1.363,-0.8330000000000002,0.2709999999999999,0.623
2017-01-01 03:00:00,-1.9489999999999998,1.702,-1.241,2.075,0.821
2017-01-01 04:00:00,-0.2779999999999998,2.0469999999999997,-1.713,3.201,0.30099999999999993
2017-01-01 05:00:00,-1.1959999999999997,1.5939999999999996,-1.306,4.027,-0.20100000000000007
2017-01-01 06:00:00,-1.4459999999999997,0.9549999999999996,-1.8370000000000002,2.278,0.09799999999999992
2017-01-01 07:00:00,-1.5049999999999997,1.7569999999999997,-1.7650000000000001,1.936,-0.6000000000000001
2017-01-01 08:00:00,-3.872,1.4379999999999997,-0.9180000000000001,2.893,-0.1620000000000001
2017-01-01 09:00:00,-5.922,1.8509999999999998,-1.3070000000000002,3.569,-1.0030000000000001
2017-01-01 10:00:00,-7.749,0.9869999999999998,-2.3930000000000002,5.366,-1.2840000000000003
2017-01-01 11:00:00,-8.452,0.9579999999999997,-2.168,5.286,-2.1700000000000004
2017-01-01 12:00:00,-9.249,-0.40600000000000036,-1.4760000000000002,6.425,-3.9140000000000006
2017-01-01 13:00:00,-8.453000000000001,0.2999999999999996,-1.0560000000000003,6.405,-4.2010000000000005
2017-01-01 14:00:00,-8.296000000000001,1.6469999999999996,-0.050000000000000266,7.297000000000001,-4.505000000000001
2017-01-01 15:00:00,-8.535000000000002,2.7449999999999997,-0.7400000000000002,7.4510000000000005,-3.8330000000000006
2017-01-01 16:00:00,-8.537000000000003,2.3449999999999998,-1.7480000000000002,6.656000000000001,-3.7160000000000006
2017-01-01 17:00:00,-7.055000000000002,0.9109999999999998,-1.5830000000000002,5.537000000000001,-3.1830000000000007
2017-01-01 18:00:00,-7.097000000000002,0.09399999999999986,-0.6920000000000002,7.539000000000001,-3.1680000000000006
2017-01-01 19:00:00,-9.061000000000002,-0.5870000000000002,0.8299999999999998,7.140000000000001,-2.3060000000000005
2017-01-01 20:00:00,-8.295000000000002,-0.7710000000000001,0.09599999999999986,7.383000000000001,-5.173
2017-01-01 21:00:00,-6.834000000000001,-1.4300000000000002,0.8159999999999998,7.3740000000000006,-5.467
2017-01-01 22:00:00,-8.284,-2.6820000000000004,1.6119999999999999,8.372,-5.864
2017-01-01 23:00:00,-8.479000000000001,-1.9460000000000004,1.6409999999999998,9.372,-5.403
2017-01-02 00:00:00,-10.015,-0.7390000000000003,0.8529999999999998,8.905,-5.419
2017-01-02 01:00:00,-10.537,-0.49500000000000033,-0.7410000000000003,7.8389999999999995,-5.802
2017-01-02 02:00:00,-11.458,0.5019999999999997,0.5739999999999996,7.646999999999999,-5.752999999999999
2017-01-02 03:00:00,-10.795,0.08899999999999969,1.8499999999999996,6.638999999999999,-7.257999999999999
2017-01-02 04:00:00,-12.911,-0.2650000000000003,1.5379999999999996,7.653999999999999,-5.966999999999999
2017-01-02 05:00:00,-13.493,0.9859999999999995,0.37399999999999967,9.331,-5.507999999999999
2017-01-02 06:00:00,-14.43,1.8639999999999994,0.2719999999999997,8.334,-6.2509999999999994
2017-01-02 07:00:00,-15.983,2.2509999999999994,0.5309999999999997,8.046,-6.028999999999999
2017-01-02 08:00:00,-15.208,3.1269999999999993,0.6179999999999997,7.1819999999999995,-7.057999999999999
2017-01-02 09:00:00,-14.967,2.5119999999999996,0.4439999999999997,8.068,-6.405999999999999
2017-01-02 10:00:00,-14.757,1.6089999999999995,-0.46800000000000036,7.271999999999999,-7.893999999999998
2017-01-02 11:00:00,-13.514,2.3389999999999995,0.5959999999999996,6.273999999999999,-8.609999999999998
2017-01-02 12:00:00,-13.761,0.7139999999999995,0.7509999999999997,5.323999999999999,-10.485999999999997
2017-01-02 13:00:00,-13.274,-0.25800000000000045,1.4799999999999995,4.251999999999999,-10.626999999999997
2017-01-02 14:00:00,-12.6,-0.022000000000000464,3.4929999999999994,4.2269999999999985,-9.398999999999997
2017-01-02 15:00:00,-12.554,-0.7220000000000004,3.4259999999999993,3.9209999999999985,-9.857999999999997
2017-01-02 16:00:00,-13.431000000000001,0.9119999999999995,3.6059999999999994,3.2249999999999988,-10.022999999999996
2017-01-02 17:00:00,-12.030000000000001,-0.8180000000000005,5.350999999999999,3.691999999999999,-9.106999999999996
2017-01-02 18:00:00,-11.483,-0.6900000000000005,5.1819999999999995,4.733999999999999,-10.200999999999995
2017-01-02 19:00:00,-12.183,1.0389999999999997,7.734,5.874999999999999,-11.205999999999996
2017-01-02 20:00:00,-9.926,0.1529999999999997,8.875,5.921999999999999,-10.555999999999996
2017-01-02 21:00:00,-9.726,-0.0250000000000003,9.586,5.697999999999999,-10.427999999999995
2017-01-02 22:00:00,-9.779000000000002,0.2379999999999997,8.677,6.700999999999999,-9.568999999999996
2017-01-02 23:00:00,-8.903000000000002,-0.9860000000000002,6.6,4.556999999999999,-9.072999999999995
2017-01-03 00:00:00,-10.153000000000002,-1.1440000000000001,6.973,4.611999999999998,-8.403999999999995
2017-01-03 01:00:00,-9.951000000000002,-2.5730000000000004,6.2459999999999996,3.5679999999999983,-9.190999999999995
2017-01-03 02:00:00,-11.825000000000003,-1.8290000000000004,5.675999999999999,4.220999999999998,-11.089999999999996
2017-01-03 03:00:00,-11.818000000000003,-2.0410000000000004,4.577999999999999,3.8619999999999983,-9.416999999999996
2017-01-03 04:00:00,-11.727000000000004,-1.9860000000000004,4.241999999999999,3.5579999999999985,-10.904999999999996
2017-01-03 05:00:00,-10.543000000000005,-2.7260000000000004,5.638999999999999,3.3689999999999984,-9.933999999999996
2017-01-03 06:00:00,-9.560000000000004,-2.873,7.219999999999999,4.325999999999999,-9.443999999999996
2017-01-03 07:00:00,-9.615000000000004,-2.907,8.77,3.448999999999999,-8.851999999999995
2017-01-03 08:00:00,-10.629000000000003,-2.859,7.592,2.715999999999999,-8.472999999999995
2017-01-03 09:00:00,-10.050000000000002,-3.62,8.094,1.9799999999999989,-8.376999999999995
2017-01-03 10:00:00,-9.131000000000002,-3.533,7.140999999999999,2.000999999999999,-7.8879999999999955
2017-01-03 11:00:00,-9.348000000000003,-4.084,8.463,1.6289999999999991,-6.651999999999996
2017-01-03 12:00:00,-9.899000000000003,-3.8289999999999997,8.055,0.8229999999999991,-7.567999999999996
2017-01-03 13:00:00,-9.262000000000002,-3.5919999999999996,6.629,0.005999999999999117,-6.978999999999996
2017-01-03 14:00:00,-9.983000000000002,-2.5439999999999996,6.436,-0.7430000000000009,-6.821999999999996
2017-01-03 15:00:00,-10.474000000000002,-5.039999999999999,6.672,0.45299999999999907,-6.632999999999996
2017-01-03 16:00:00,-12.427000000000001,-5.1049999999999995,7.069,0.8209999999999991,-7.245999999999995
